DepartureYear,DepartureMonth,DepartureDay,DepartureAirport,ArrivalAirport,ActualFlightTime,ActualTotalFuel,FlownPassengers,FlightBagsWeight,DayOfWeek,FuelPerMinute,AvgBagWeight,IsWeekend,PredictedTOW
2016,11,1,MRS,BES,84,3630,185.0,560.0,1,43.214285714285715,13.023255813953488,0,65860.73
2016,11,1,BES,MRS,86,3690,188.0,,1,42.906976744186046,,0,65657.2
2016,11,1,MRS,STN,100,4390,168.0,720.0,1,43.9,13.090909090909092,0,66246.96
2016,11,1,STN,MRS,100,4690,185.0,460.0,1,46.9,13.142857142857142,0,66134.336
2016,11,1,STN,REU,112,4900,167.0,400.0,1,43.75,12.903225806451612,0,66360.38
2016,11,1,STN,DUB,56,2750,136.0,260.0,1,49.107142857142854,13.0,0,61722.68
2016,11,1,DUB,STN,50,2299,177.0,182.0,1,45.98,13.0,0,64026.812
2016,11,1,REU,STN,126,5250,175.0,560.0,1,41.666666666666664,13.023255813953488,0,66661.44
2016,11,1,STN,NYO,109,4510,174.0,610.0,1,41.37614678899082,12.97872340425532,0,65271.39
2016,11,1,GDN,NYO,54,2350,175.0,340.0,1,43.51851851851852,13.076923076923077,0,63590.504
2016,11,1,NYO,STN,138,5630,188.0,600.0,1,40.79710144927536,13.043478260869565,0,68070.64
2016,11,1,NYO,GDN,56,2370,179.0,210.0,1,42.32142857142857,12.352941176470589,0,62952.773
2016,11,1,STN,DUB,56,2740,174.0,490.0,1,48.92857142857143,12.894736842105264,0,64782.59
2016,11,1,DUB,STN,57,2480,184.0,741.0,1,43.50877192982456,13.0,0,64514.438
2016,11,1,STN,RIX,125,5450,168.0,420.0,1,43.6,13.125,0,65896.195
2016,11,1,RIX,STN,155,6924,169.0,270.0,1,44.670967741935485,12.857142857142858,0,68192.3
2016,11,1,STN,DTM,51,2340,169.0,420.0,1,45.88235294117647,13.125,0,63328.92
2016,11,1,ALC,STN,145,6360,184.0,510.0,1,43.86206896551724,13.076923076923077,0,68318.74
2016,11,1,STN,ALC,134,5600,137.0,520.0,1,41.791044776119406,13.0,0,64524.43
2016,11,1,DUB,KTW,127,5620,174.0,858.0,1,44.25196850393701,13.0,0,66708.84
2016,11,1,STN,PIK,61,2200,,,1,36.0655737704918,,0,64847.656
2016,11,1,TSF,STN,114,4594,177.0,300.0,1,40.29824561403509,13.043478260869565,0,65491.58
2016,11,1,STN,TSF,92,3980,169.0,330.0,1,43.26086956521739,13.2,0,65025.387
2016,11,1,FCO,BCN,79,3330,181.0,140.0,1,42.151898734177216,12.727272727272727,0,64493.473
2016,11,1,BCN,FCO,78,3633,178.0,290.0,1,46.57692307692308,13.181818181818182,0,64959.03
2016,11,1,FCO,PMO,40,2260,168.0,240.0,1,56.5,13.333333333333334,0,63720.926
2016,11,1,PMO,PSA,61,3060,178.0,210.0,1,50.16393442622951,13.125,0,64023.887
2016,11,1,PMO,FCO,50,2340,179.0,330.0,1,46.8,13.2,0,62994.98
2016,11,1,MAD,SXF,155,7000,174.0,210.0,1,45.16129032258065,13.125,0,67937.76
2016,11,1,SXF,MAD,161,7074,183.0,520.0,1,43.93788819875776,13.0,0,68903.31
2016,11,1,STN,PRG,88,3882,174.0,350.0,1,44.11363636363637,12.962962962962964,0,65714.14
2016,11,1,PRG,STN,108,4760,163.0,260.0,1,44.074074074074076,13.0,0,65316.64
2016,11,1,CHQ,BRS,247,9700,175.0,660.0,1,39.27125506072875,12.941176470588236,0,69918.92
2016,11,1,BRS,CHQ,216,6830,26.0,,1,31.62037037037037,,0,62235.92
2016,11,1,LIG,EMA,84,3646,170.0,190.0,1,43.404761904761905,12.666666666666666,0,63706.06
2016,11,1,EMA,WMI,116,4780,147.0,420.0,1,41.206896551724135,13.125,0,63645.895
2016,11,1,WMI,EMA,155,6330,168.0,370.0,1,40.83870967741935,12.758620689655173,0,65928.445
